timestamp,gpu_id,memory_used_mb,memory_total_mb,utilization_percent
2025-09-15 02:41:30,0,18,6141,0
2025-09-15 02:41:32,0,139,6141,0
2025-09-15 02:41:34,0,139,6141,0
2025-09-15 02:41:36,0,395,6141,0
2025-09-15 02:41:38,0,427,6141,0
2025-09-15 02:41:40,0,427,6141,0
2025-09-15 02:41:42,0,427,6141,0
2025-09-15 02:41:44,0,3267,6141,68
2025-09-15 02:41:46,0,3271,6141,97
2025-09-15 02:41:48,0,3271,6141,97
2025-09-15 02:41:50,0,3271,6141,89
2025-09-15 02:41:52,0,3271,6141,89
2025-09-15 02:41:54,0,3271,6141,90
2025-09-15 02:41:57,0,3271,6141,96
2025-09-15 02:41:59,0,3271,6141,94
2025-09-15 02:42:01,0,3271,6141,95
2025-09-15 02:42:03,0,3271,6141,91
2025-09-15 02:42:05,0,3271,6141,93
2025-09-15 02:42:07,0,3271,6141,91
2025-09-15 02:42:09,0,3271,6141,92
2025-09-15 02:42:11,0,3271,6141,93
2025-09-15 02:42:13,0,3271,6141,88
2025-09-15 02:42:15,0,3271,6141,86
2025-09-15 02:42:17,0,3271,6141,89
2025-09-15 02:42:19,0,3271,6141,0
2025-09-15 02:42:21,0,3271,6141,0
2025-09-15 02:42:23,0,3271,6141,0
2025-09-15 02:42:25,0,3271,6141,0
2025-09-15 02:42:27,0,3271,6141,0
2025-09-15 02:42:29,0,3271,6141,1
2025-09-15 02:42:31,0,3271,6141,1
2025-09-15 02:42:33,0,3271,6141,0
2025-09-15 02:42:35,0,3271,6141,91
2025-09-15 02:42:37,0,3271,6141,92
2025-09-15 02:42:39,0,3271,6141,91
2025-09-15 02:42:41,0,3271,6141,91
2025-09-15 02:42:43,0,3271,6141,89
2025-09-15 02:42:45,0,3271,6141,86
2025-09-15 02:42:47,0,3271,6141,92
2025-09-15 02:42:49,0,3271,6141,92
2025-09-15 02:42:51,0,3271,6141,90
2025-09-15 02:42:53,0,3271,6141,92
2025-09-15 02:42:55,0,3271,6141,93
2025-09-15 02:42:57,0,3271,6141,88
2025-09-15 02:43:00,0,3271,6141,84
2025-09-15 02:43:02,0,3271,6141,88
2025-09-15 02:43:04,0,3271,6141,97
2025-09-15 02:43:06,0,3271,6141,94
2025-09-15 02:43:08,0,3271,6141,91
2025-09-15 02:43:10,0,3271,6141,91
2025-09-15 02:43:12,0,3271,6141,92
2025-09-15 02:43:14,0,3271,6141,89
2025-09-15 02:43:16,0,3271,6141,91
2025-09-15 02:43:18,0,3271,6141,91
2025-09-15 02:43:20,0,3271,6141,89
2025-09-15 02:43:22,0,3271,6141,94
2025-09-15 02:43:24,0,3271,6141,91
2025-09-15 02:43:26,0,3271,6141,86
2025-09-15 02:43:28,0,3271,6141,86
2025-09-15 02:43:30,0,3271,6141,85
2025-09-15 02:43:32,0,3271,6141,91
2025-09-15 02:43:34,0,3271,6141,92
2025-09-15 02:43:36,0,3271,6141,90
