timestamp,gpu_id,memory_used_mb,memory_total_mb,utilization_percent
2025-09-15 22:36:45,0,18,6141,0
2025-09-15 22:36:47,0,18,6141,0
2025-09-15 22:36:49,0,363,6141,0
2025-09-15 22:36:51,0,491,6141,0
2025-09-15 22:36:53,0,491,6141,0
2025-09-15 22:36:55,0,491,6141,0
2025-09-15 22:36:57,0,491,6141,0
2025-09-15 22:36:59,0,715,6141,0
2025-09-15 22:37:01,0,715,6141,0
2025-09-15 22:37:03,0,715,6141,0
2025-09-15 22:37:05,0,715,6141,0
2025-09-15 22:37:07,0,715,6141,0
2025-09-15 22:37:09,0,715,6141,0
2025-09-15 22:37:11,0,715,6141,0
2025-09-15 22:37:13,0,715,6141,0
2025-09-15 22:37:15,0,715,6141,0
2025-09-15 22:37:17,0,3905,6141,90
2025-09-15 22:37:19,0,4007,6141,98
2025-09-15 22:37:21,0,4007,6141,100
2025-09-15 22:37:23,0,4007,6141,94
2025-09-15 22:37:25,0,4007,6141,81
2025-09-15 22:37:27,0,4007,6141,93
2025-09-15 22:37:29,0,4009,6141,100
2025-09-15 22:37:31,0,4009,6141,96
2025-09-15 22:37:33,0,4009,6141,90
2025-09-15 22:37:35,0,4009,6141,98
2025-09-15 22:37:38,0,4009,6141,95
2025-09-15 22:37:40,0,4009,6141,86
2025-09-15 22:37:42,0,4009,6141,95
2025-09-15 22:37:44,0,4009,6141,100
2025-09-15 22:37:46,0,4009,6141,94
2025-09-15 22:37:48,0,4009,6141,88
2025-09-15 22:37:50,0,4009,6141,99
2025-09-15 22:37:52,0,4009,6141,93
2025-09-15 22:37:54,0,4009,6141,83
2025-09-15 22:37:56,0,4009,6141,94
2025-09-15 22:37:58,0,4009,6141,79
2025-09-15 22:38:00,0,4009,6141,83
2025-09-15 22:38:02,0,4009,6141,81
2025-09-15 22:38:04,0,4009,6141,85
2025-09-15 22:38:06,0,4009,6141,86
2025-09-15 22:38:08,0,4009,6141,87
2025-09-15 22:38:10,0,4009,6141,0
2025-09-15 22:38:12,0,4009,6141,0
2025-09-15 22:38:14,0,4009,6141,0
2025-09-15 22:38:16,0,4009,6141,0
2025-09-15 22:38:18,0,4009,6141,0
2025-09-15 22:38:20,0,4009,6141,0
2025-09-15 22:38:22,0,4009,6141,0
2025-09-15 22:38:24,0,4009,6141,0
2025-09-15 22:38:26,0,4009,6141,0
2025-09-15 22:38:28,0,4009,6141,0
2025-09-15 22:38:30,0,4009,6141,0
2025-09-15 22:38:32,0,4009,6141,0
2025-09-15 22:38:34,0,4009,6141,0
2025-09-15 22:38:36,0,4009,6141,0
2025-09-15 22:38:38,0,4009,6141,0
2025-09-15 22:38:40,0,4009,6141,0
2025-09-15 22:38:42,0,4009,6141,0
2025-09-15 22:38:44,0,4009,6141,0
2025-09-15 22:38:46,0,4009,6141,0
2025-09-15 22:38:49,0,4009,6141,0
2025-09-15 22:38:51,0,4009,6141,0
2025-09-15 22:38:53,0,4009,6141,0
2025-09-15 22:38:55,0,4009,6141,0
2025-09-15 22:38:57,0,4009,6141,0
2025-09-15 22:38:59,0,4009,6141,0
2025-09-15 22:39:01,0,4009,6141,0
2025-09-15 22:39:03,0,4009,6141,0
2025-09-15 22:39:05,0,4009,6141,0
2025-09-15 22:39:07,0,4009,6141,0
2025-09-15 22:39:09,0,4009,6141,0
2025-09-15 22:39:11,0,4009,6141,0
2025-09-15 22:39:13,0,4009,6141,0
2025-09-15 22:39:15,0,4009,6141,0
2025-09-15 22:39:17,0,4009,6141,0
2025-09-15 22:39:19,0,4009,6141,0
2025-09-15 22:39:21,0,4009,6141,0
2025-09-15 22:39:23,0,4009,6141,0
2025-09-15 22:39:25,0,4009,6141,98
2025-09-15 22:39:27,0,4009,6141,85
2025-09-15 22:39:29,0,4009,6141,91
2025-09-15 22:39:31,0,4009,6141,82
2025-09-15 22:39:33,0,4009,6141,90
2025-09-15 22:39:35,0,4009,6141,89
2025-09-15 22:39:37,0,4009,6141,89
2025-09-15 22:39:39,0,4009,6141,88
2025-09-15 22:39:41,0,4009,6141,86
2025-09-15 22:39:43,0,4009,6141,86
2025-09-15 22:39:45,0,4009,6141,85
2025-09-15 22:39:47,0,4009,6141,82
2025-09-15 22:39:49,0,4009,6141,87
2025-09-15 22:39:51,0,4009,6141,92
2025-09-15 22:39:53,0,4009,6141,94
2025-09-15 22:39:56,0,4009,6141,89
2025-09-15 22:39:58,0,4009,6141,88
2025-09-15 22:40:00,0,4009,6141,97
2025-09-15 22:40:02,0,4009,6141,91
2025-09-15 22:40:04,0,4009,6141,98
2025-09-15 22:40:06,0,4009,6141,87
2025-09-15 22:40:08,0,4009,6141,5
2025-09-15 22:40:10,0,4009,6141,84
2025-09-15 22:40:12,0,4009,6141,97
2025-09-15 22:40:14,0,4009,6141,85
2025-09-15 22:40:16,0,4009,6141,89
2025-09-15 22:40:18,0,4009,6141,97
2025-09-15 22:40:20,0,4009,6141,91
2025-09-15 22:40:22,0,4009,6141,97
2025-09-15 22:40:24,0,4009,6141,97
2025-09-15 22:40:26,0,4009,6141,89
2025-09-15 22:40:28,0,4009,6141,99
2025-09-15 22:40:30,0,4009,6141,97
2025-09-15 22:40:32,0,4009,6141,92
2025-09-15 22:40:34,0,4009,6141,85
2025-09-15 22:40:36,0,4009,6141,91
2025-09-15 22:40:38,0,4009,6141,87
2025-09-15 22:40:40,0,4009,6141,87
2025-09-15 22:40:42,0,4009,6141,100
2025-09-15 22:40:44,0,4009,6141,86
2025-09-15 22:40:46,0,4009,6141,100
2025-09-15 22:40:48,0,4009,6141,97
2025-09-15 22:40:50,0,4009,6141,84
2025-09-15 22:40:52,0,4009,6141,97
2025-09-15 22:40:54,0,4009,6141,82
2025-09-15 22:40:56,0,4009,6141,84
2025-09-15 22:40:58,0,4009,6141,95
2025-09-15 22:41:00,0,4009,6141,87
2025-09-15 22:41:02,0,4009,6141,96
2025-09-15 22:41:04,0,4009,6141,89
2025-09-15 22:41:06,0,4009,6141,99
2025-09-15 22:41:08,0,4009,6141,95
2025-09-15 22:41:10,0,4009,6141,91
2025-09-15 22:41:12,0,4009,6141,92
2025-09-15 22:41:14,0,4009,6141,94
2025-09-15 22:41:17,0,4009,6141,89
2025-09-15 22:41:19,0,4009,6141,82
2025-09-15 22:41:21,0,4009,6141,97
2025-09-15 22:41:23,0,4009,6141,87
2025-09-15 22:41:25,0,4009,6141,99
2025-09-15 22:41:27,0,4009,6141,99
2025-09-15 22:41:29,0,4009,6141,96
2025-09-15 22:41:31,0,4009,6141,94
2025-09-15 22:41:33,0,4009,6141,85
2025-09-15 22:41:35,0,4009,6141,86
2025-09-15 22:41:37,0,4009,6141,95
2025-09-15 22:41:39,0,4009,6141,95
2025-09-15 22:41:41,0,4009,6141,87
2025-09-15 22:41:43,0,4009,6141,89
2025-09-15 22:41:45,0,4009,6141,96
2025-09-15 22:41:47,0,4009,6141,86
2025-09-15 22:41:49,0,4009,6141,84
2025-09-15 22:41:51,0,4009,6141,99
2025-09-15 22:41:53,0,4009,6141,85
2025-09-15 22:41:55,0,4009,6141,99
2025-09-15 22:41:57,0,4009,6141,95
2025-09-15 22:41:59,0,4009,6141,96
2025-09-15 22:42:01,0,4009,6141,97
2025-09-15 22:42:03,0,4009,6141,89
2025-09-15 22:42:05,0,4009,6141,90
2025-09-15 22:42:07,0,4009,6141,96
2025-09-15 22:42:09,0,4009,6141,82
2025-09-15 22:42:11,0,4009,6141,90
2025-09-15 22:42:13,0,4009,6141,94
2025-09-15 22:42:15,0,4009,6141,80
2025-09-15 22:42:17,0,4009,6141,100
2025-09-15 22:42:19,0,4009,6141,88
2025-09-15 22:42:21,0,4009,6141,88
2025-09-15 22:42:23,0,4009,6141,97
2025-09-15 22:42:26,0,4009,6141,89
2025-09-15 22:42:28,0,4009,6141,92
2025-09-15 22:42:30,0,4009,6141,89
2025-09-15 22:42:32,0,4009,6141,79
2025-09-15 22:42:34,0,4009,6141,91
2025-09-15 22:42:36,0,4009,6141,92
2025-09-15 22:42:38,0,4009,6141,88
2025-09-15 22:42:40,0,4009,6141,84
2025-09-15 22:42:42,0,4009,6141,79
2025-09-15 22:42:44,0,4009,6141,94
2025-09-15 22:42:46,0,4009,6141,100
2025-09-15 22:42:48,0,4009,6141,96
2025-09-15 22:42:50,0,4009,6141,95
2025-09-15 22:42:52,0,4009,6141,93
2025-09-15 22:42:54,0,4009,6141,95
2025-09-15 22:42:56,0,4009,6141,88
2025-09-15 22:42:58,0,4009,6141,91
2025-09-15 22:43:00,0,4009,6141,99
2025-09-15 22:43:02,0,4009,6141,90
2025-09-15 22:43:04,0,4009,6141,90
2025-09-15 22:43:06,0,4009,6141,100
2025-09-15 22:43:08,0,4009,6141,95
2025-09-15 22:43:10,0,4009,6141,96
2025-09-15 22:43:12,0,4009,6141,100
2025-09-15 22:43:14,0,4009,6141,94
2025-09-15 22:43:16,0,4009,6141,100
2025-09-15 22:43:18,0,4009,6141,97
2025-09-15 22:43:20,0,4009,6141,96
2025-09-15 22:43:22,0,4009,6141,80
2025-09-15 22:43:24,0,4009,6141,91
2025-09-15 22:43:26,0,4009,6141,85
2025-09-15 22:43:28,0,4009,6141,99
2025-09-15 22:43:30,0,4009,6141,96
2025-09-15 22:43:32,0,4009,6141,92
2025-09-15 22:43:34,0,4009,6141,85
2025-09-15 22:43:36,0,4009,6141,92
2025-09-15 22:43:38,0,4009,6141,98
2025-09-15 22:43:40,0,4009,6141,89
2025-09-15 22:43:42,0,4009,6141,87
2025-09-15 22:43:44,0,4009,6141,89
2025-09-15 22:43:47,0,4009,6141,88
2025-09-15 22:43:49,0,4009,6141,85
2025-09-15 22:43:51,0,4009,6141,99
2025-09-15 22:43:53,0,4009,6141,99
2025-09-15 22:43:55,0,4009,6141,87
2025-09-15 22:43:57,0,4009,6141,100
2025-09-15 22:43:59,0,4009,6141,93
2025-09-15 22:44:01,0,4009,6141,88
2025-09-15 22:44:03,0,4009,6141,79
2025-09-15 22:44:05,0,4009,6141,99
2025-09-15 22:44:07,0,4009,6141,78
2025-09-15 22:44:09,0,4009,6141,90
2025-09-15 22:44:11,0,4009,6141,81
2025-09-15 22:44:13,0,4009,6141,95
2025-09-15 22:44:15,0,4009,6141,97
2025-09-15 22:44:17,0,4009,6141,80
2025-09-15 22:44:19,0,4009,6141,89
2025-09-15 22:44:21,0,4009,6141,100
2025-09-15 22:44:23,0,4009,6141,99
2025-09-15 22:44:25,0,4009,6141,95
2025-09-15 22:44:27,0,4009,6141,90
2025-09-15 22:44:29,0,4009,6141,84
2025-09-15 22:44:31,0,4009,6141,86
2025-09-15 22:44:33,0,4009,6141,87
2025-09-15 22:44:35,0,4009,6141,95
2025-09-15 22:44:37,0,4009,6141,85
2025-09-15 22:44:39,0,4009,6141,97
2025-09-15 22:44:41,0,4009,6141,91
2025-09-15 22:44:43,0,4009,6141,100
2025-09-15 22:44:45,0,4009,6141,90
2025-09-15 22:44:47,0,4009,6141,96
2025-09-15 22:44:49,0,4009,6141,86
2025-09-15 22:44:51,0,4009,6141,98
2025-09-15 22:44:54,0,4009,6141,96
2025-09-15 22:44:56,0,4009,6141,89
2025-09-15 22:44:58,0,4009,6141,88
2025-09-15 22:45:00,0,4009,6141,95
2025-09-15 22:45:02,0,4009,6141,93
2025-09-15 22:45:04,0,4009,6141,89
2025-09-15 22:45:06,0,4009,6141,86
2025-09-15 22:45:08,0,4009,6141,96
2025-09-15 22:45:10,0,4009,6141,100
2025-09-15 22:45:12,0,4009,6141,95
2025-09-15 22:45:14,0,4009,6141,88
2025-09-15 22:45:16,0,4009,6141,88
2025-09-15 22:45:18,0,4009,6141,88
2025-09-15 22:45:20,0,4009,6141,99
2025-09-15 22:45:22,0,4009,6141,89
2025-09-15 22:45:24,0,4009,6141,95
2025-09-15 22:45:26,0,4009,6141,84
2025-09-15 22:45:28,0,4009,6141,100
2025-09-15 22:45:30,0,4009,6141,97
2025-09-15 22:45:32,0,4009,6141,83
2025-09-15 22:45:34,0,4009,6141,94
2025-09-15 22:45:36,0,4009,6141,97
2025-09-15 22:45:38,0,4009,6141,88
2025-09-15 22:45:40,0,4009,6141,99
2025-09-15 22:45:42,0,4009,6141,97
2025-09-15 22:45:44,0,4009,6141,81
2025-09-15 22:45:46,0,4009,6141,88
2025-09-15 22:45:48,0,4009,6141,89
2025-09-15 22:45:50,0,4009,6141,85
2025-09-15 22:45:52,0,4009,6141,96
2025-09-15 22:45:54,0,4009,6141,97
2025-09-15 22:45:56,0,4009,6141,95
2025-09-15 22:45:58,0,4009,6141,95
2025-09-15 22:46:00,0,4009,6141,90
2025-09-15 22:46:02,0,4009,6141,83
2025-09-15 22:46:04,0,4009,6141,84
2025-09-15 22:46:06,0,4009,6141,91
2025-09-15 22:46:08,0,4009,6141,99
2025-09-15 22:46:10,0,4009,6141,84
2025-09-15 22:46:13,0,4009,6141,94
2025-09-15 22:46:15,0,4009,6141,86
2025-09-15 22:46:17,0,4009,6141,91
2025-09-15 22:46:19,0,4009,6141,94
2025-09-15 22:46:21,0,4009,6141,89
2025-09-15 22:46:23,0,4009,6141,86
2025-09-15 22:46:25,0,4009,6141,97
2025-09-15 22:46:27,0,4009,6141,100
2025-09-15 22:46:29,0,4009,6141,97
2025-09-15 22:46:31,0,4009,6141,84
2025-09-15 22:46:33,0,4009,6141,97
2025-09-15 22:46:35,0,4009,6141,90
2025-09-15 22:46:37,0,4009,6141,91
2025-09-15 22:46:39,0,4009,6141,96
2025-09-15 22:46:41,0,4009,6141,90
2025-09-15 22:46:43,0,4009,6141,95
2025-09-15 22:46:45,0,4009,6141,85
2025-09-15 22:46:47,0,4009,6141,87
